train_lr,l2_reg,gcn_dropout,mean_init,gcn_agg_units,gcn_out_units,std_init,train_grad_clip,gcn_agg_accum,bayesian,kl_coefficient,prior_mu,prior_sigma,logsigma_constant_init,best_iter,best_valid_rmse,best_test_rmse
0.01,5e-08,0.8,0.1,600,30,0.001,3.0,sum,True,1e-14,0.0,0.001,-8.5,799,0.9881490686852424,0.9839912756556363
0.01,1e-09,0.8,0.1,600,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,1253,0.9877790298270419,0.983885870618431
0.01,4e-08,0.7,0.1,400,30,0.0025,3.0,sum,True,8e-15,0.0,0.001,-8.5,688,0.9886445293766922,0.9838187144515603
0.009,3e-08,0.7,0.1,600,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,807,0.9888654648194893,0.983811716860588
0.009,2e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,739,0.9886832041790272,0.983726378597141
0.01,5e-08,0.8,0.1,500,30,0.0025,3.0,sum,True,7e-14,0.0,0.001,-8.5,955,0.98876338250403,0.9836324282700306
0.01,1e-08,0.7,0.1,500,30,0.001,3.0,sum,True,7e-14,0.0,0.001,-8.5,1014,0.9892001798962785,0.9834158023638311
0.009,5e-08,0.8,0.1,400,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,886,0.9875448446110944,0.9832780266149289
0.009,5e-08,0.8,0.1,500,30,0.0025,3.0,sum,True,1e-14,0.0,0.001,-8.5,869,0.9880166887039878,0.9832575374152392
0.01,4e-08,0.8,0.1,400,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,864,0.9881175814114261,0.9832123141793311
0.01,3e-08,0.7,0.1,400,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,943,0.9886662634151852,0.9831312587512139
0.01,5e-08,0.8,0.1,500,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,1365,0.9878098943205912,0.9831161017964046
0.009,4e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,1344,0.9883978250979026,0.983059867452283
0.01,4e-08,0.7,0.1,400,30,0.001,3.0,sum,True,8e-15,0.0,0.001,-8.5,1474,0.9877369101546959,0.9830066919651993
0.015,5e-09,0.8,0.1,500,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,1062,0.9876465398971656,0.9828649473524017
0.009,2e-08,0.8,0.1,500,30,0.001,3.0,sum,True,5e-14,0.0,0.001,-8.5,1234,0.9874939628609681,0.9828190995860525
0.01,4e-08,0.7,0.1,400,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,957,0.9880644368209354,0.9827837419775171
0.01,5e-08,0.8,0.1,400,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,957,0.9877334403308398,0.9827229093584373
0.01,3e-08,0.8,0.1,400,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,1679,0.9873927347860538,0.9827035306794719
0.009,4e-08,0.7,0.1,600,30,0.001,3.0,sum,True,1e-14,0.0,0.001,-8.5,734,0.9883620639975821,0.9826903687296764
0.009,3e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,1483,0.9877390825599489,0.9826759934955386
0.009,5e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,1e-13,0.0,0.001,-8.5,1054,0.9879428148342079,0.9826527621874097
0.009,4e-08,0.8,0.1,400,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,1730,0.9868645144310805,0.9826147902506287
0.009,5e-08,0.7,0.1,400,30,0.0025,3.0,sum,True,7e-14,0.0,0.001,-8.5,1011,0.9882977450355003,0.9826004139107939
0.009,3e-08,0.8,0.1,600,30,0.0025,3.0,sum,True,4e-14,0.0,0.001,-8.5,867,0.9876097256022834,0.9824444140660498
0.01,5e-09,0.7,0.1,400,30,0.0025,3.0,sum,True,3e-14,0.0,0.001,-8.5,1329,0.987683926125013,0.9824214503020019
0.009,2e-08,0.7,0.1,500,30,0.0025,3.0,sum,True,6e-14,0.0,0.001,-8.5,1154,0.9880469726794102,0.9822075005102194
0.01,1e-09,0.7,0.1,400,30,0.0025,3.0,sum,True,5e-14,0.0,0.001,-8.5,1014,0.9870982572158147,0.9818716157676414
